Timestamp_MS,ISO_Time,Latitude,Longitude,Speed_MPH,Heading,Altitude_M,Accuracy_M,Battery_Pct
1789196324000,2026-09-12T06:58:44.000Z,37.7614507,-122.2340401,0,250.90554809570312,-23.200000762939453,6,43
1789196325000,2026-09-12T06:58:45.000Z,37.7614517,-122.2340398,0,90.18804931640625,-23.200000762939453,6,43
1789196326000,2026-09-12T06:58:46.000Z,37.7614521,-122.2340388,0,90.00053405761719,-23.200000762939453,6,43
1789196328000,2026-09-12T06:58:48.000Z,37.7614521,-122.2340386,0,262.0615539550781,-23.200000762939453,6,43
1789196329000,2026-09-12T06:58:49.000Z,37.7614521,-122.2340398,0,90.0498046875,-23.200000762939453,6,43
1789196330000,2026-09-12T06:58:50.000Z,37.7614498,-122.2340382,0,209.83851623535156,-23.100000381469727,6,43
1789196331000,2026-09-12T06:58:51.000Z,37.7614485,-122.2340372,0,90.37393188476562,-23.100000381469727,6,43
1789196332000,2026-09-12T06:58:52.000Z,37.7614492,-122.2340364,0,90.00137329101562,-23.100000381469727,6,43
1789196333000,2026-09-12T06:58:53.000Z,37.76145,-122.234036,0,89.99897003173828,-23.100000381469727,6,43
1789196334000,2026-09-12T06:58:54.000Z,37.7614503,-122.2340361,0,89.9996566772461,-23.100000381469727,6,43
1789196335000,2026-09-12T06:58:55.000Z,37.7614508,-122.2340355,0,89.99950408935547,-23.100000381469727,6,43
1789196336000,2026-09-12T06:58:56.000Z,37.7614518,-122.2340357,0,89.99848175048828,-23.100000381469727,6,43
1789196337000,2026-09-12T06:58:57.000Z,37.7614531,-122.2340358,0,89.9981689453125,-23.100000381469727,6,43
1789196338000,2026-09-12T06:58:58.000Z,37.7614469,-122.2340326,0,90.01942443847656,-23.100000381469727,6,43
1789196339000,2026-09-12T06:58:59.000Z,37.7614454,-122.2340313,0,90.00951385498047,-23.100000381469727,6,43
1789196340000,2026-09-12T06:59:00.000Z,37.761445,-122.2340319,0,90.00196075439453,-23.100000381469727,6,43
1789196341000,2026-09-12T06:59:01.000Z,37.7614449,-122.2340315,0,90.00067901611328,-23.100000381469727,6,43
1789196342000,2026-09-12T06:59:02.000Z,37.7614452,-122.2340319,0,89.99860382080078,-23.100000381469727,6,43
1789196343000,2026-09-12T06:59:03.000Z,37.7614433,-122.2340344,0,90.00148010253906,-23,7,43
1789196344000,2026-09-12T06:59:04.000Z,37.7614435,-122.2340357,0,89.99967193603516,-23,7,43
1789196345000,2026-09-12T06:59:05.000Z,37.7614434,-122.2340355,0,90.00045013427734,-23,7,43
1789196346000,2026-09-12T06:59:06.000Z,37.761444,-122.2340356,0,89.99658203125,-23,7,43
1789196347000,2026-09-12T06:59:07.000Z,37.7614462,-122.2340363,0,89.9916000366211,-23,7,43
1789196348000,2026-09-12T06:59:08.000Z,37.7614473,-122.2340354,0,89.97576904296875,-23,7,43
1789196349000,2026-09-12T06:59:09.000Z,37.7614482,-122.2340353,0,89.992919921875,-23,7,43
1789196350000,2026-09-12T06:59:10.000Z,37.7614444,-122.2340357,0,90.00959777832031,-23.100000381469727,8,43
1789196351000,2026-09-12T06:59:11.000Z,37.7614433,-122.2340362,0,90.00166320800781,-23.100000381469727,8,43
1789196352000,2026-09-12T06:59:12.000Z,37.7614429,-122.2340362,0,90.00117492675781,-23.100000381469727,8,43
1789196353000,2026-09-12T06:59:13.000Z,37.761445,-122.2340358,0,89.9946517944336,-23.100000381469727,8,43
1789196354000,2026-09-12T06:59:14.000Z,37.7614466,-122.2340357,0,89.99515533447266,-23.100000381469727,8,43
1789196356000,2026-09-12T06:59:16.000Z,37.7614492,-122.2340354,0,89.99626159667969,-23.100000381469727,8,43
1789196357000,2026-09-12T06:59:17.000Z,37.7614501,-122.2340356,0,355.9170227050781,-23.100000381469727,8,43
1789196358000,2026-09-12T06:59:18.000Z,37.7614482,-122.2340398,0,89.26729583740234,-23,8,43
1789196359000,2026-09-12T06:59:19.000Z,37.7614481,-122.2340406,0,89.99369049072266,-23,8,43
1789196361000,2026-09-12T06:59:21.000Z,37.76145,-122.2340413,0,341.9728698730469,-23,8,43
1789196362000,2026-09-12T06:59:22.000Z,37.7614523,-122.2340425,0,349.6470947265625,-23,8,43
1789196364000,2026-09-12T06:59:24.000Z,37.7614548,-122.2340427,0,349.6041259765625,-23,8,43
